Sno.,Model Name,Price,RAM,ROM,Battery Capacity,Camera,URL,Features
88,I Kall K11,669,32 MB RAM,64 MB ROM,800 mAh Battery,0.3MP Rear Camera,https://www.flipkart.com/i-kall-k11/p/itmexr5zujyzgzrx?pid=MOBEHEYRXT6YKDFZ&lid=LSTMOBEHEYRXT6YKDFZB0XEZJ&marketplace=FLIPKART&srno=b_4_88&otracker=browse&fm=organic&iid=519d62f7-9e5b-4c72-a700-107e04bf4bc2.MOBEHEYRXT6YKDFZ.SEARCH&ssid=kxvmlktf6o0000001605235583758,32 MB RAM | 64 MB ROM 4.57 cm (1.8 inch) Display 0.3MP Rear Camera 800 mAh Battery 15 Month  Manufacturer Warranty
89,BlackZone B-310 GOLD,669,64 MB RAM,64 MB ROM,1000 mAh Battery,0.3MP Rear Camera,https://www.flipkart.com/blackzone-b-310-gold/p/itme0f7db73c0b7e?pid=MOBFPFNHBZYMG5JF&lid=LSTMOBFPFNHBZYMG5JFFM0RBT&marketplace=FLIPKART&srno=b_4_89&otracker=browse&fm=organic&iid=519d62f7-9e5b-4c72-a700-107e04bf4bc2.MOBFPFNHBZYMG5JF.SEARCH&ssid=kxvmlktf6o0000001605235583758,64 MB RAM | 64 MB ROM 4.57 cm (1.8 inch) Display 0.3MP Rear Camera 1000 mAh Battery 1 Year Manufacturer Warranty for Device
90,GIVA G4,675,32 MB RAM,10 MB ROM,1100 mAh Battery,0.3MP Rear Camera,https://www.flipkart.com/giva-g4/p/itmd73112de1900c?pid=MOBFN3T5X2FEJG65&lid=LSTMOBFN3T5X2FEJG65CGOSYD&marketplace=FLIPKART&srno=b_4_90&otracker=browse&fm=organic&iid=519d62f7-9e5b-4c72-a700-107e04bf4bc2.MOBFN3T5X2FEJG65.SEARCH&ssid=kxvmlktf6o0000001605235583758,32 MB RAM | 10 MB ROM 4.57 cm (1.8 inch) Display 0.3MP Rear Camera 1100 mAh Battery 1 YEAR SERVICE CENTER WARRANTY
91,Inovu A1s Plus,675,32 MB RAM,32 MB ROM,800 mAh Battery,0.08MP Rear Camera; 0.08MP Front Camera,https://www.flipkart.com/inovu-a1s-plus/p/itmf4m23ww8uxbqw?pid=MOBF4HVYBWFCYX7B&lid=LSTMOBF4HVYBWFCYX7BUXVDDY&marketplace=FLIPKART&srno=b_4_91&otracker=browse&fm=organic&iid=519d62f7-9e5b-4c72-a700-107e04bf4bc2.MOBF4HVYBWFCYX7B.SEARCH&ssid=kxvmlktf6o0000001605235583758,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB 4.57 cm (1.8 inch) Display 0.08MP Rear Camera | 0.08MP Front Camera 800 mAh Battery 1 Year Manufacturer Warranty
92,Inovu A1s Plus,675,32 MB RAM,32 MB ROM,800 mAh Battery,0.08MP Rear Camera; 0.08MP Front Camera,https://www.flipkart.com/inovu-a1s-plus/p/itmf4m23ww8uxbqw?pid=MOBF4HVYHH4ZFG3W&lid=LSTMOBF4HVYHH4ZFG3WE2S49O&marketplace=FLIPKART&srno=b_4_92&otracker=browse&fm=organic&iid=519d62f7-9e5b-4c72-a700-107e04bf4bc2.MOBF4HVYHH4ZFG3W.SEARCH&ssid=kxvmlktf6o0000001605235583758,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB 4.57 cm (1.8 inch) VGA Display 0.08MP Rear Camera | 0.08MP Front Camera 800 mAh Battery 1 Year Manufacturer Warranty
93,Detel D1 Champ,675,32 MB RAM,32 MB ROM,1000 mAh Battery,0.3MP Rear Camera,https://www.flipkart.com/detel-d1-champ/p/itmecea1c5e77505?pid=MOBFKYFSAMHG6PYN&lid=LSTMOBFKYFSAMHG6PYNYQAV8X&marketplace=FLIPKART&srno=b_4_93&otracker=browse&fm=organic&iid=519d62f7-9e5b-4c72-a700-107e04bf4bc2.MOBFKYFSAMHG6PYN.SEARCH&ssid=kxvmlktf6o0000001605235583758,32 MB RAM | 32 MB ROM 4.57 cm (1.8 inch) Display 0.3MP Rear Camera 1000 mAh Battery 1 Year Warranty
94,Detel D1 Champ,675,32 MB RAM,32 MB ROM,1000 mAh Battery,0.3MP Rear Camera,https://www.flipkart.com/detel-d1-champ/p/itmecea1c5e77505?pid=MOBFKYFZAHGEPBX2&lid=LSTMOBFKYFZAHGEPBX2RZFQNG&marketplace=FLIPKART&srno=b_4_94&otracker=browse&fm=organic&iid=519d62f7-9e5b-4c72-a700-107e04bf4bc2.MOBFKYFZAHGEPBX2.SEARCH&ssid=kxvmlktf6o0000001605235583758,32 MB RAM | 32 MB ROM 4.57 cm (1.8 inch) Display 0.3MP Rear Camera 1000 mAh Battery 1 Year Warranty
95,Snexian GURU 106,675,32 MB RAM,32 MB ROM,1080 mAh Battery,1MP Rear Camera,https://www.flipkart.com/snexian-guru-106/p/itme1e3b5a9fd9ba?pid=MOBFVNCT2HSNHYUG&lid=LSTMOBFVNCT2HSNHYUGE4F3H6&marketplace=FLIPKART&srno=b_4_95&otracker=browse&fm=organic&iid=519d62f7-9e5b-4c72-a700-107e04bf4bc2.MOBFVNCT2HSNHYUG.SEARCH&ssid=kxvmlktf6o0000001605235583758,32 MB RAM | 32 MB ROM 4.57 cm (1.8 inch) Display 1MP Rear Camera 1080 mAh Battery 1 Year Domestic Warranty
96,Snexian GURU 106,675,32 MB RAM,32 MB ROM,1080 mAh Battery,1MP Rear Camera,https://www.flipkart.com/snexian-guru-106/p/itme1e3b5a9fd9ba?pid=MOBFTEG2EGGMSZQC&lid=LSTMOBFTEG2EGGMSZQCVZIZZW&marketplace=FLIPKART&srno=b_4_96&otracker=browse&fm=organic&iid=519d62f7-9e5b-4c72-a700-107e04bf4bc2.MOBFTEG2EGGMSZQC.SEARCH&ssid=kxvmlktf6o0000001605235583758,32 MB RAM | 32 MB ROM 4.57 cm (1.8 inch) Display 1MP Rear Camera 1080 mAh Battery 1 Year Domestic Warranty
97,Snexian Guru 106,675,32 MB RAM,32 MB ROM,1080 mAh Battery,1MP Rear Camera,https://www.flipkart.com/snexian-guru-106/p/itme1e3b5a9fd9ba?pid=MOBFTEG2VAGDUYYB&lid=LSTMOBFTEG2VAGDUYYBUKS1HK&marketplace=FLIPKART&srno=b_5_97&otracker=browse&fm=organic&iid=afca3ee2-f084-4efa-b949-9395df5dc4a2.MOBFTEG2VAGDUYYB.SEARCH&ssid=sjmf1wsmhs0000001605235585060,32 MB RAM | 32 MB ROM 4.57 cm (1.8 inch) Display 1MP Rear Camera 1080 mAh Battery 1 Year Domestic Warranty
98,Forme N9,678,32 MB RAM,32 MB ROM,1050 mAh Battery,,https://www.flipkart.com/forme-n9/p/itm73fdc39ef7167?pid=MOBFWG6ZHG8CVEZV&lid=LSTMOBFWG6ZHG8CVEZVYEJPKK&marketplace=FLIPKART&srno=b_5_98&otracker=browse&fm=organic&iid=afca3ee2-f084-4efa-b949-9395df5dc4a2.MOBFWG6ZHG8CVEZV.SEARCH&ssid=sjmf1wsmhs0000001605235585060,32 MB RAM | 32 MB ROM 4.57 cm (1.8 inch) Display 1050 mAh Battery 12 MONTHS
99,MTR Mt312,679,64 MB RAM,64 MB ROM,800 mAh Battery,0.3MP Rear Camera,https://www.flipkart.com/mtr-mt312/p/itmf2aspu3cxjvgy?pid=MOBFC8FG88VGWXCC&lid=LSTMOBFC8FG88VGWXCCBXPLG9&marketplace=FLIPKART&srno=b_5_99&otracker=browse&fm=organic&iid=afca3ee2-f084-4efa-b949-9395df5dc4a2.MOBFC8FG88VGWXCC.SEARCH&ssid=sjmf1wsmhs0000001605235585060,64 MB RAM | 64 MB ROM 4.57 cm (1.8 inch) Display 0.3MP Rear Camera 800 mAh Battery 12 Months
